timestamp,full_time,region,work_site,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,number_of_employees,total_experience,salary,salary_change,bonus
29/11/2021 10:05,1,Дніпро,Віддалено,1,34,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,Medtech,Аутсорсингова,понад 1000,3.0,1585,200.0,
29/11/2021 10:08,1,Київ,"Частково віддалено, частково в офісі",0,34,Вища,Немає,4,"Analyst (Business, Data, System)",Middle,,E-commerce,Продуктова,понад 1000,5.0,1900,240.0,
29/11/2021 10:11,1,Київ,Віддалено,1,23,Вища,Немає,5,"Data Science, Machine Learning, Big Data",Middle,Python,Big Data,Аутсорсингова,понад 1000,3.0,3500,1000.0,
29/11/2021 10:11,1,Харків,В офісі,0,36,Дві вищі,Немає,5,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,,"Big Data, Cloud Computing, Insurance",Аутсорсингова,понад 1000,10.0,10000,0.0,10000
29/11/2021 10:15,1,Київ,"Частково віддалено, частково в офісі",0,29,Вища,Немає,5,"Analyst (Business, Data, System)",Team Lead,,E-commerce,Аутсорсингова,понад 1000,9.0,3800,1300.0,490
29/11/2021 10:15,1,Київ,В офісі,1,35,Дві вищі,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,"Fintech, Gambling",Продуктова,понад 1000,10.0,2700,1100.0,
29/11/2021 10:17,1,Одеса,Віддалено,1,40,Вища,Немає,3,"DevOps, SysAdmin",Senior,Python,Telecom,Продуктова,до 1000,7.0,4000,500.0,2000
29/11/2021 10:23,1,Київ,Віддалено,1,34,Вища,Немає,5,Sales Manager,,,"Blockchain, E-commerce",Аутсорсингова,до 50,7.0,1000,500.0,
29/11/2021 10:24,1,Вінниця,Віддалено,1,23,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,Java,"E-commerce, Fintech, Medtech",Аутсорсингова,до 1000,2.0,1400,450.0,
29/11/2021 10:28,1,Одеса,Віддалено,0,25,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,E-commerce,Продуктова,понад 1000,2.0,1600,150.0,
29/11/2021 10:31,1,Одеса,"Частково віддалено, частково в офісі",1,29,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,JavaScript,"Blockchain, Fintech",Стартап,до 200,1.5,1850,1417.0,
29/11/2021 10:33,1,Харків,"Частково віддалено, частково в офісі",0,38,Дві вищі,Немає,3,"Marketing, SEO, Copywriter",Head,,E-commerce,Продуктова,до 1000,8.0,1500,200.0,
29/11/2021 10:33,1,Інше,Віддалено,0,31,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,SQL,Legal,Аутсорсингова,понад 1000,2.0,2000,1000.0,95
29/11/2021 10:34,1,Київ,"Частково віддалено, частково в офісі",0,27,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Market-tech,Продуктова,до 1000,2.0,2000,800.0,
29/11/2021 10:38,1,Київ,В офісі,1,22,Середня спеціальна,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,"Embedded, Internet of Things, Robotics",Продуктова,до 200,0.25,550,0.0,
29/11/2021 10:41,1,Київ,Віддалено,1,33,Вища,Немає,5,"Analyst (Business, Data, System)",Middle,"Мови розробки БД (PL/SQL, Transact-SQL)","Data Science, E-commerce, ERP",Продуктова,до 1000,1.5,1000,300.0,
29/11/2021 10:41,1,Львів,Віддалено,1,20,Студент,Немає,6,"Analyst (Business, Data, System)",Junior,Python,"Data Science, Fintech, Mobile",Продуктова,до 200,1.0,615,0.0,
29/11/2021 10:43,1,Київ,Віддалено,1,35,Вища,Немає,4,"DevOps, SysAdmin",Junior,,"Cloud Computing, Security",Аутсорсингова,понад 1000,0.5,970,960.0,
29/11/2021 10:49,1,Київ,"Частково віддалено, частково в офісі",0,36,Вища,Кандидат наук,5,"Analyst (Business, Data, System)",Senior,,Internet of Things,Аутсорсингова,понад 1000,10.0,3500,500.0,
29/11/2021 10:51,1,Київ,"Частково віддалено, частково в офісі",0,25,Вища,Немає,3,HR,Middle,,Media,Продуктова,до 1000,3.0,1700,500.0,1500
29/11/2021 10:52,1,Дніпро,"Частково віддалено, частково в офісі",0,34,Вища,Немає,5,"Analyst (Business, Data, System)",Junior,,Insurance,Аутсорсингова,понад 1000,1.0,2000,1500.0,
29/11/2021 10:54,1,Київ,"Частково віддалено, частково в офісі",0,36,Вища,Немає,5,HR,Team Lead,,Big Data,Продуктова,до 50,10.0,2950,250.0,2000
29/11/2021 10:55,1,Київ,Віддалено,0,30,Дві вищі,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,GameDev,Продуктова,до 200,3.0,1800,225.0,1800
29/11/2021 10:56,1,Львів,Віддалено,1,29,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Senior,,Mobile,Аутсорсингова,понад 1000,1.0,3000,1000.0,
29/11/2021 10:56,1,Київ,Віддалено,1,31,Вища,Немає,6,"Analyst (Business, Data, System)",Senior,,"E-commerce, Fintech, GameDev",Продуктова,до 200,2.0,3500,1200.0,
29/11/2021 10:56,1,Київ,"Частково віддалено, частково в офісі",1,27,Вища,Немає,6,Sales Manager,,,"Fintech, Medtech, Real Estate",Аутсорсингова,до 200,5.0,1500,0.0,200
29/11/2021 10:57,1,Дніпро,Віддалено,1,27,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Java,Fintech,Аутстафінгова,понад 1000,1.0,2000,800.0,
29/11/2021 10:57,1,Київ,Віддалено,1,26,Середня спеціальна,Немає,3,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,SQL,E-commerce,Продуктова,до 200,1.0,2000,800.0,
29/11/2021 10:57,1,Київ,Віддалено,0,23,Вища,Немає,3,HR,Intern/Trainee,,"E-commerce, Fintech, High Load Systems",Продуктова,понад 1000,1.0,600,100.0,
29/11/2021 10:57,1,Львів,Віддалено,1,27,Вища,Немає,4,"DevOps, SysAdmin",Intern/Trainee,,High Load Systems,Аутсорсингова,понад 1000,0.25,500,0.0,
