full_time,programming_language,total_experience,position,salary,region,english_level,title,male,company_type,year
1,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7500.0,Львів,5,Tech Lead,1,Аутсорсингова,2020
1,,5.0,Designer,7200.0,Київ,5,Senior,0,Аутсорсингова,2020
1,Scala,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7500.0,Київ,5,Team Lead,1,Продуктова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7695.0,Київ,6,Team Lead,1,Аутстафінгова,2020
1,,3.0,"Data Science, Machine Learning, Big Data",6500.0,Київ,5,Team Lead,1,Продуктова,2020
1,PHP,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7410.0,Харків,6,Senior,1,Продуктова,2020
1,TypeScript,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7370.0,Харків,4,Architect,1,Продуктова,2020
1,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7300.0,Львів,5,Senior,1,Стартап,2020
1,C++,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7200.0,Львів,4,Senior,1,Продуктова,2020
1,,6.0,HR,5000.0,Київ,4,Head,0,Продуктова,2020
1,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7100.0,Чернівці,6,Senior,1,Продуктова,2020
1,PHP,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7100.0,Київ,5,Senior,1,Продуктова,2020
1,Rust,7.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,5,Senior,1,Продуктова,2020
0,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Senior,1,Продуктова,2020
1,Java,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Senior,1,Продуктова,2020
1,C#,2.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1615.0,Київ,4,Junior,0,Аутсорсингова,2020
1,TypeScript,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Senior,1,Продуктова,2020
1,Go,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Senior,1,Стартап,2020
1,Scala,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,4,Senior,1,Стартап,2020
1,JavaScript,7.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Вінниця,4,Senior,1,Аутсорсингова,2020
1,C++,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Львів,5,Senior,1,Аутсорсингова,2020
1,,10.0,"Analyst (Business, Data, System)",5400.0,Львів,6,Senior,1,Аутстафінгова,2020
0,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,5,Senior,1,Аутстафінгова,2020
1,JavaScript,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Львів,5,Architect,1,Продуктова,2020
1,C#,3.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1600.0,Київ,4,Junior,1,Аутстафінгова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7500.0,Київ,6,Senior,1,Стартап,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Львів,5,Architect,1,Аутсорсингова,2020
1,Java,0.5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Івано-Франківськ,4,Intern/Trainee,1,Аутсорсингова,2020
1,,10.0,"Analyst (Business, Data, System)",5300.0,Львів,6,Senior,1,Аутсорсингова,2020
1,JavaScript,4.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,5,Architect,1,Аутстафінгова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",7350.0,Київ,6,Middle,1,Аутстафінгова,2020
1,Kotlin,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Одеса,6,Architect,1,Аутсорсингова,2020
1,PHP,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Харків,5,Architect,1,Продуктова,2020
1,,4.0,"DevOps, SysAdmin",3000.0,Київ,4,Middle,1,Аутстафінгова,2020
1,Інше,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Одеса,4,Intern/Trainee,1,Аутсорсингова,2020
1,,8.0,Designer,5500.0,Київ,5,Team Lead,1,Продуктова,2020
1,Kotlin,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,5,Tech Lead,1,Продуктова,2020
1,,10.0,HR,5000.0,Київ,5,Head,0,Продуктова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Львів,5,Team Lead,1,Продуктова,2020
1,C#/.NET,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",7000.0,Київ,6,Team Lead,1,Продуктова,2020
1,,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",500.0,Київ,4,Intern/Trainee,1,Продуктова,2020
