english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
5,1,10.0,Аутсорсингова,Львів,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7500.0,2020
5,1,5.0,Аутсорсингова,Київ,Senior,,Designer,0,7200.0,2020
5,1,10.0,Продуктова,Київ,Team Lead,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7500.0,2020
6,1,10.0,Аутстафінгова,Київ,Team Lead,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7695.0,2020
5,1,3.0,Продуктова,Київ,Team Lead,,"Data Science, Machine Learning, Big Data",1,6500.0,2020
6,1,10.0,Продуктова,Харків,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7410.0,2020
4,1,9.0,Продуктова,Харків,Architect,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7370.0,2020
5,1,5.0,Стартап,Львів,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7300.0,2020
4,1,10.0,Продуктова,Львів,Senior,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7200.0,2020
4,1,6.0,Продуктова,Київ,Head,,HR,0,5000.0,2020
6,1,5.0,Продуктова,Чернівці,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7100.0,2020
5,1,5.0,Продуктова,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7100.0,2020
5,1,7.0,Продуктова,Київ,Senior,Rust,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
6,0,10.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
6,1,5.0,Продуктова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,2.0,Аутсорсингова,Київ,Junior,C#,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,1615.0,2020
6,1,9.0,Продуктова,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
6,1,5.0,Стартап,Київ,Senior,Go,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,10.0,Стартап,Київ,Senior,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,7.0,Аутсорсингова,Вінниця,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
5,1,10.0,Аутсорсингова,Львів,Senior,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
6,1,10.0,Аутстафінгова,Львів,Senior,,"Analyst (Business, Data, System)",1,5400.0,2020
5,0,10.0,Аутстафінгова,Київ,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
5,1,10.0,Продуктова,Львів,Architect,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,3.0,Аутстафінгова,Київ,Junior,C#,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1600.0,2020
6,1,10.0,Стартап,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7500.0,2020
5,1,10.0,Аутсорсингова,Львів,Architect,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,0.5,Аутсорсингова,Івано-Франківськ,Intern/Trainee,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,500.0,2020
6,1,10.0,Аутсорсингова,Львів,Senior,,"Analyst (Business, Data, System)",1,5300.0,2020
5,1,4.0,Аутстафінгова,Київ,Architect,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
6,1,10.0,Аутстафінгова,Київ,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,7350.0,2020
6,1,10.0,Аутсорсингова,Одеса,Architect,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
5,1,10.0,Продуктова,Харків,Architect,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,7000.0,2020
4,1,4.0,Аутстафінгова,Київ,Middle,,"DevOps, SysAdmin",1,3000.0,2020
4,1,0.25,Аутсорсингова,Одеса,Intern/Trainee,Інше,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,500.0,2020
