english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
5,1,7.0,Продуктова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4750.0,2020
4,1,6.0,Стартап,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,2.0,Аутсорсингова,Харків,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,680.0,2020
4,1,5.0,Аутстафінгова,Львів,Senior,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,2.0,Продуктова,Не Україна,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,675.0,2020
5,1,10.0,Продуктова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,5.0,Аутсорсингова,Чернівці,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4750.0,2020
5,1,6.0,Аутсорсингова,Хмельницький,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Аутсорсингова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,10.0,Стартап,Львів,Senior,C,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,7.0,Аутсорсингова,Львів,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,5.0,Стартап,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,10.0,Продуктова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
2,1,9.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Продуктова,Київ,Middle,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,3000.0,2020
5,1,8.0,Продуктова,Львів,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,8.0,Аутстафінгова,Харків,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,4500.0,2020
3,1,7.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,4.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,9.0,Аутсорсингова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4750.0,2020
5,1,1.0,Стартап,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,660.0,2020
5,1,8.0,Аутстафінгова,Одеса,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,8.0,Аутсорсингова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Аутстафінгова,Харків,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4750.0,2020
5,1,10.0,Аутстафінгова,Харків,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,8.0,Інша,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,0.25,Аутсорсингова,Суми,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,177.0,2020
4,1,10.0,Продуктова,Запоріжжя,Senior,,Designer,1,3000.0,2020
4,1,5.0,Стартап,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,1.0,Стартап,Дніпро,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,650.0,2020
4,1,1.0,Продуктова,Харків,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,650.0,2020
3,1,0.5,Продуктова,Харків,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,650.0,2020
5,1,10.0,Стартап,Львів,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,2.0,Продуктова,Київ,Middle,,"Marketing, SEO, Copywriter",0,750.0,2020
5,1,10.0,Аутстафінгова,Київ,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,2.0,Аутсорсингова,Харків,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,650.0,2020
3,1,6.0,Продуктова,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,10.0,Аутстафінгова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,4.0,Аутстафінгова,Київ,Middle,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,3000.0,2020
4,1,5.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,6.0,Аутсорсингова,Харків,Senior,,"DevOps, SysAdmin",1,1000.0,2020
6,1,1.0,Продуктова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,650.0,2020
5,1,1.0,Аутсорсингова,Миколаїв,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,650.0,2020
4,1,2.0,Аутстафінгова,Тернопіль,Junior,Python,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,650.0,2020
4,1,5.0,Аутсорсингова,Київ,Senior,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Аутсорсингова,Львів,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4700.0,2020
4,1,2.0,Аутсорсингова,Вінниця,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,650.0,2020
4,1,10.0,Продуктова,Одеса,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,10.0,Продуктова,Харків,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,10.0,Продуктова,Київ,Senior,SQL,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,5.0,Аутсорсингова,Львів,Senior,,Designer,1,3000.0,2020
5,1,10.0,Інша,Харків,Tech Lead,Python,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,4500.0,2020
4,1,5.0,Аутсорсингова,Київ,Senior,,"DevOps, SysAdmin",1,3150.0,2020
5,1,10.0,Продуктова,Харків,Team Lead,,"Analyst (Business, Data, System)",0,3500.0,2020
5,1,5.0,Аутсорсингова,Київ,Head,,HR,1,2500.0,2020
2,1,2.0,Аутсорсингова,Вінниця,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,650.0,2020
4,1,6.0,Продуктова,Київ,Tech Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
3,1,1.0,Аутсорсингова,Вінниця,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,650.0,2020
4,1,10.0,Аутсорсингова,Київ,Tech Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,7.0,Продуктова,Київ,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Аутсорсингова,Дніпро,Tech Lead,Python,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
3,1,1.0,Стартап,Дніпро,Junior,Python,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,650.0,2020
5,1,7.0,Аутсорсингова,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,2.0,Продуктова,Київ,Middle,,Customer Success,1,380.0,2020
5,1,5.0,Продуктова,Київ,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Аутсорсингова,Львів,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,4.0,Аутсорсингова,Київ,Middle,,Technical writer,1,3000.0,2020
5,1,10.0,Аутстафінгова,Київ,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Продуктова,Київ,Senior,,"Analyst (Business, Data, System)",1,3500.0,2020
3,1,0.5,Продуктова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,642.0,2020
5,1,10.0,Аутсорсингова,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Аутсорсингова,Київ,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,7.0,Продуктова,Київ,Team Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,10.0,Продуктова,Київ,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Продуктова,Київ,Team Lead,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Продуктова,Київ,Team Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,8.0,Продуктова,Київ,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,5.0,Аутсорсингова,Вінниця,Team Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,6.0,Продуктова,Київ,Team Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,10.0,Продуктова,Дніпро,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Аутстафінгова,Запоріжжя,Team Lead,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,5.0,Продуктова,Львів,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4700.0,2020
6,1,10.0,Продуктова,Київ,Team Lead,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,0.25,Аутсорсингова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,640.0,2020
4,1,10.0,Продуктова,Київ,Team Lead,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Аутсорсингова,Київ,Team Lead,,"Analyst (Business, Data, System)",1,3500.0,2020
6,1,2.0,Продуктова,Харків,Middle,,Technical writer,0,3000.0,2020
6,1,6.0,Аутсорсингова,Харків,Team Lead,,"Analyst (Business, Data, System)",0,3500.0,2020
5,1,5.0,Аутсорсингова,Львів,Senior,,Designer,1,3000.0,2020
5,1,5.0,Стартап,Київ,Team Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,7.0,Аутсорсингова,Київ,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,7.0,Аутсорсингова,Львів,Team Lead,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,9.0,Продуктова,Київ,Senior,,HR,0,2500.0,2020
5,1,6.0,Аутсорсингова,Київ,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,4500.0,2020
4,1,10.0,Продуктова,Київ,Team Lead,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,7.0,Продуктова,Харків,Team Lead,Swift,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,6.0,Продуктова,Харків,Team Lead,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,10.0,Продуктова,Харків,Architect,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Аутсорсингова,Львів,Architect,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,10.0,Аутсорсингова,Дніпро,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,5.0,Аутсорсингова,Київ,Middle,JavaScript,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,3000.0,2020
5,1,10.0,Аутсорсингова,Київ,Tech Lead,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,4.0,Продуктова,Дніпро,Middle,,"Data Science, Machine Learning, Big Data",1,3300.0,2020
6,1,4.0,Аутсорсингова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4500.0,2020
5,1,5.0,Аутсорсингова,Дніпро,Tech Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
2,1,1.0,Продуктова,Дніпро,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,640.0,2020
5,1,0.5,Продуктова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,630.0,2020
4,1,10.0,Продуктова,Київ,Tech Lead,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,10.0,Продуктова,Вінниця,Senior,,DBA,1,4750.0,2020
3,1,4.0,Аутсорсингова,Одеса,Junior,,HTML Coder,1,1500.0,2020
5,1,10.0,Продуктова,Житомир,Middle,,Support,1,2058.0,2020
5,1,6.0,Продуктова,Київ,Senior,,"Analyst (Business, Data, System)",1,3500.0,2020
5,1,10.0,Аутсорсингова,Львів,Tech Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
6,1,10.0,Продуктова,Київ,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
5,1,6.0,Аутсорсингова,Київ,Middle,Інше,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,4500.0,2020
6,1,10.0,Продуктова,Харків,Senior,,"Analyst (Business, Data, System)",0,3500.0,2020
4,1,2.0,Аутсорсингова,Київ,Middle,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4500.0,2020
4,1,1.0,Аутсорсингова,Львів,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,626.0,2020
4,1,10.0,Аутстафінгова,Київ,Team Lead,,Designer,1,3000.0,2020
6,1,3.0,Продуктова,Київ,Middle,,"Data Science, Machine Learning, Big Data",1,3250.0,2020
5,1,10.0,Продуктова,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4475.0,2020
6,1,10.0,Стартап,Харків,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4465.0,2020
5,1,5.0,Аутсорсингова,Київ,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4460.0,2020
5,1,7.0,Аутсорсингова,Київ,Senior,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,4450.0,2020
6,1,1.0,Аутстафінгова,Київ,Junior,,"DevOps, SysAdmin",1,1150.0,2020
3,1,10.0,Продуктова,Київ,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,1,10.0,Аутстафінгова,Львів,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
4,1,0.25,Аутсорсингова,Львів,Junior,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,620.0,2020
6,1,7.0,Продуктова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4500.0,2020
6,1,8.0,Продуктова,Київ,Senior,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
3,1,10.0,Продуктова,Дніпро,Head,,Designer,1,3000.0,2020
4,1,8.0,Продуктова,Київ,Senior,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
5,1,5.0,Продуктова,Львів,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
3,1,7.0,Продуктова,Київ,C-Level,,"СTO, Director of Engineering, Program Director",1,2731.0,2020
5,1,5.0,Аутстафінгова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,1,5.0,Продуктова,Не Україна,Middle,,Technical writer,1,3000.0,2020
5,1,6.0,Аутстафінгова,Київ,Middle,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,3000.0,2020
5,1,6.0,Продуктова,Київ,Senior,,HR,0,2500.0,2020
5,1,1.0,Продуктова,Львів,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,620.0,2020
4,1,6.0,Продуктова,Львів,Senior,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
4,1,8.0,Продуктова,Київ,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
5,1,7.0,Аутстафінгова,Дніпро,Senior,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
4,1,1.0,Аутстафінгова,Ужгород,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,620.0,2020
4,1,10.0,Аутсорсингова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,0,4.0,Аутсорсингова,Київ,Head,,Designer,0,3000.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,1,10.0,Продуктова,Харків,Middle,,Technical writer,1,3000.0,2020
5,1,5.0,Продуктова,Київ,Senior,,Designer,1,3000.0,2020
3,1,8.0,Продуктова,Львів,Senior,Swift,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
5,1,6.0,Продуктова,Львів,Senior,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
4,1,8.0,Продуктова,Київ,Team Lead,Swift,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
4,1,1.0,Стартап,Ужгород,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,600.0,2020
6,1,3.0,Продуктова,Київ,Middle,,"DevOps, SysAdmin",1,3003.0,2020
5,1,10.0,Аутсорсингова,Харків,Team Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
3,1,10.0,Продуктова,Одеса,Team Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,1,8.0,Аутсорсингова,Київ,Team Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
5,1,10.0,Аутсорсингова,Львів,Team Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,1,10.0,Аутсорсингова,Київ,Team Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
6,1,10.0,Аутсорсингова,Київ,Senior,,DBA,1,4350.0,2020
4,1,0.5,Продуктова,Одеса,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
5,1,8.0,Продуктова,Київ,Tech Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
4,1,4.0,Продуктова,Київ,Team Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4400.0,2020
5,1,10.0,Аутстафінгова,Київ,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,4370.0,2020
4,1,2.0,Аутсорсингова,Запоріжжя,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
4,1,10.0,Аутсорсингова,Дніпро,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4370.0,2020
4,1,2.0,Аутсорсингова,Харків,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,600.0,2020
6,1,3.0,Продуктова,Київ,Senior,,"Data Science, Machine Learning, Big Data",1,3200.0,2020
5,1,5.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4370.0,2020
5,1,2.0,Аутсорсингова,Миколаїв,Middle,,Sales Manager,0,650.0,2020
3,1,3.0,Продуктова,Київ,Middle,,"DevOps, SysAdmin",1,1900.0,2020
5,1,0.5,Продуктова,Одеса,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
6,1,6.0,Аутстафінгова,Київ,Senior,,HR,0,2300.0,2020
6,1,9.0,Продуктова,Харків,Team Lead,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4500.0,2020
4,1,10.0,Аутсорсингова,Харків,Senior,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4360.0,2020
5,1,5.0,Аутстафінгова,Харків,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4350.0,2020
5,1,10.0,Аутсорсингова,Львів,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4350.0,2020
4,1,7.0,Продуктова,Львів,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4340.0,2020
4,1,1.0,Аутсорсингова,Харків,Junior,Python,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
5,1,5.0,Аутсорсингова,Київ,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4335.0,2020
6,0,4.0,Стартап,Харків,Tech Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
2,1,10.0,Продуктова,Київ,Senior,,"DevOps, SysAdmin",1,5000.0,2020
4,0,10.0,Аутстафінгова,Харків,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,6.0,Аутсорсингова,Харків,Senior,Scala,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,4.0,Аутсорсингова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4500.0,2020
5,1,6.0,Аутстафінгова,Київ,Senior,Python,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
3,1,2.0,Продуктова,Дніпро,Junior,Інше,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
4,1,8.0,Продуктова,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
4,1,10.0,Аутстафінгова,Харків,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
6,1,4.0,Продуктова,Київ,Middle,,HR,0,2200.0,2020
5,1,3.0,Аутсорсингова,Львів,Middle,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,3000.0,2020
5,1,10.0,Аутсорсингова,Київ,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4500.0,2020
5,1,10.0,Аутстафінгова,Київ,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,4500.0,2020
5,1,3.0,Аутсорсингова,Львів,Middle,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,3000.0,2020
6,1,4.0,Аутсорсингова,Харків,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,5.0,Аутсорсингова,Київ,Middle,,"Analyst (Business, Data, System)",1,3400.0,2020
3,1,6.0,Продуктова,Київ,Senior,Go,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
4,1,10.0,Аутсорсингова,Київ,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,8.0,Продуктова,Львів,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
6,1,3.0,Продуктова,Київ,Middle,,Technical writer,1,3000.0,2020
3,1,7.0,Аутсорсингова,Харків,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
4,1,1.0,Продуктова,Дніпро,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,600.0,2020
4,1,4.0,Аутсорсингова,Київ,Senior,Go,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,10.0,Аутстафінгова,Львів,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,4300.0,2020
5,1,0.5,Продуктова,Київ,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,600.0,2020
