timestamp,full_time,region,salary,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,total_experience
30/11/2022 10:31,1,Дніпро,2100,1,32,Вища,Немає,3,HTML Coder,Senior,JavaScript,Fintech / Banking,Аутстафінгова,11.0
30/11/2022 10:31,1,Львів,4500,1,35,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Java,E-commerce,Продуктова,4.0
30/11/2022 10:31,1,Київ,2600,1,22,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Python,Agriculture,Аутстафінгова,2.0
30/11/2022 10:31,1,Чернігів,4500,1,33,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Java,"Gambling, Інша",Продуктова,5.0
30/11/2022 10:32,1,Чернівці,850,1,25,Вища,Немає,5,Game Developer / Programmer,Middle,C# / .NET,GameDev,Аутсорсингова,3.0
30/11/2022 10:32,1,Київ,3600,1,34,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Java,Medtech / Healthcare,Аутсорсингова,4.0
30/11/2022 10:32,1,Київ,3525,1,25,Вища,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,Medtech / Healthcare,Продуктова,6.0
30/11/2022 10:32,1,Дніпро,5000,1,35,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Ruby,Інша,Аутстафінгова,8.0
30/11/2022 10:32,1,Суми,3300,1,25,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,"E-commerce, Legal, Real Estate",Аутсорсингова,3.0
30/11/2022 10:33,1,Суми,1600,1,24,Середня спеціальна,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,PHP,ERP,Аутсорсингова,4.0
