english_level,timestamp,position,male,title,salary,company_type,region,programming_language,full_time,total_experience,year,title_missing
5,07/12/2020 14:53,"СTO, Director of Engineering, Program Director",1,,6000.0,Стартап,Київ,,1,7.0,2020,1
6,08/12/2020 21:19,"СTO, Director of Engineering, Program Director",1,,6000.0,Продуктова,Київ,,1,10.0,2020,1
5,13/12/2020 13:00,"СTO, Director of Engineering, Program Director",1,,6000.0,Продуктова,Київ,,1,10.0,2020,1
3,26/12/2020 20:42,"СTO, Director of Engineering, Program Director",1,,6000.0,Стартап,Дніпро,,1,10.0,2020,1
3,29/12/2020 23:00,"СTO, Director of Engineering, Program Director",1,,6000.0,Продуктова,Київ,,1,9.0,2020,1
3,01/01/2021 02:27,"СTO, Director of Engineering, Program Director",1,,6000.0,Аутсорсингова,Івано-Франківськ,,1,4.0,2020,1
2,01/01/2021 21:21,"СTO, Director of Engineering, Program Director",1,,6000.0,Продуктова,Київ,,0,10.0,2020,1
6,07/12/2020 15:05,"СTO, Director of Engineering, Program Director",1,,6100.0,Аутсорсингова,Дніпро,,1,10.0,2020,1
5,08/12/2020 21:56,"СTO, Director of Engineering, Program Director",1,,6200.0,Аутстафінгова,Львів,,1,10.0,2020,1
6,08/12/2020 17:17,"СTO, Director of Engineering, Program Director",1,,6600.0,Аутсорсингова,Київ,,1,10.0,2020,1
6,07/12/2020 10:51,"СTO, Director of Engineering, Program Director",1,,6700.0,Продуктова,Дніпро,,1,10.0,2020,1
6,07/12/2020 12:16,"СTO, Director of Engineering, Program Director",1,,7000.0,Аутсорсингова,Київ,,1,10.0,2020,1
6,07/12/2020 13:28,"СTO, Director of Engineering, Program Director",1,,7000.0,Аутсорсингова,Львів,,1,10.0,2020,1
6,07/12/2020 23:41,"СTO, Director of Engineering, Program Director",1,,7000.0,Аутсорсингова,Одеса,,1,10.0,2020,1
5,28/12/2020 16:28,"СTO, Director of Engineering, Program Director",1,,7000.0,Продуктова,Київ,,1,10.0,2020,1
6,29/12/2020 15:57,"СTO, Director of Engineering, Program Director",1,,7000.0,Аутсорсингова,Вінниця,,1,10.0,2020,1
4,30/12/2020 12:28,"СTO, Director of Engineering, Program Director",1,,7000.0,Аутсорсингова,Житомир,,1,10.0,2020,1
2,01/01/2021 22:19,"СTO, Director of Engineering, Program Director",1,,7000.0,Продуктова,Вінниця,,1,10.0,2020,1
5,21/12/2020 17:22,"СTO, Director of Engineering, Program Director",1,,7500.0,Продуктова,Київ,,1,10.0,2020,1
5,08/12/2020 09:03,"СTO, Director of Engineering, Program Director",1,,7600.0,Стартап,Київ,,1,8.0,2020,1
4,07/12/2020 11:26,"СTO, Director of Engineering, Program Director",1,,8000.0,Продуктова,Київ,,1,10.0,2020,1
4,07/12/2020 15:12,"СTO, Director of Engineering, Program Director",1,,8000.0,Продуктова,Київ,,1,10.0,2020,1
5,24/12/2020 09:32,"СTO, Director of Engineering, Program Director",1,,8000.0,Продуктова,Київ,,1,10.0,2020,1
4,30/12/2020 08:27,"СTO, Director of Engineering, Program Director",1,,8000.0,Продуктова,Київ,,1,10.0,2020,1
5,11/12/2020 23:11,"СTO, Director of Engineering, Program Director",1,,8500.0,Продуктова,Київ,,1,7.0,2020,1
5,07/12/2020 14:17,"СTO, Director of Engineering, Program Director",1,,9000.0,Продуктова,Київ,,1,10.0,2020,1
6,08/12/2020 15:49,"СTO, Director of Engineering, Program Director",1,,9000.0,Продуктова,Київ,,1,10.0,2020,1
6,07/12/2020 23:58,"СTO, Director of Engineering, Program Director",1,,9300.0,Аутсорсингова,Київ,,1,10.0,2020,1
5,07/12/2020 23:00,"СTO, Director of Engineering, Program Director",1,,11400.0,Продуктова,Київ,,1,8.0,2020,1
5,31/12/2020 05:58,"СTO, Director of Engineering, Program Director",1,,15000.0,Інша,Київ,,0,10.0,2020,1
6,28/12/2020 21:35,"СTO, Director of Engineering, Program Director",1,,19000.0,Продуктова,Київ,,1,5.0,2020,1
6,07/12/2020 14:33,"СTO, Director of Engineering, Program Director",1,,30000.0,Продуктова,Одеса,,1,10.0,2020,1
6,07/12/2020 13:16,"СTO, Director of Engineering, Program Director",1,,31600.0,Аутсорсингова,Київ,,1,10.0,2020,1
6,22/11/2024 16:07,Director of Engineering,1,,14250.0,Продуктова,Київ,,1,10.0,2023,1
5,22/11/2024 23:58,Director of Engineering,1,,9200.0,Продуктова,Київ,Java,1,1.5,2023,1
5,23/11/2024 14:24,Operations Director,1,,5800.0,Продуктова,Одеса,,1,3.0,2023,1
