timestamp,full_time,salary,title,programming_language,company_type,total_experience,english_level,region,male,categories,position
22/11/2024 16:20,1,3000,Middle,Python,Продуктова,3.0,4,Київ,0,Analyst,Product Analyst
22/11/2024 16:21,1,2000,Middle,,Аутсорсингова,5.0,5,Київ,1,Project Mgmt,Project Manager
22/11/2024 16:23,1,560,Junior,C# / .NET,Аутсорсингова,0.5,4,Івано-Франківськ,0,SE,Software Engineer / Software Developer
22/11/2024 16:24,1,3600,Middle,TypeScript,Продуктова,4.0,6,Не Україна,0,SE,Software Engineer / Software Developer
22/11/2024 16:26,1,4700,Senior,Java,Аутстафінгова,6.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:26,1,900,Junior,Go,Аутсорсингова,1.0,6,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:27,1,5000,Middle,TypeScript,Продуктова,5.0,5,Івано-Франківськ,0,SE,Software Engineer / Software Developer
22/11/2024 16:27,1,4300,Senior,PHP,Продуктова,10.0,4,Київ,0,SE,Software Engineer / Software Developer
22/11/2024 16:27,1,2305,Middle,Python,Інша,4.0,5,Київ,1,Analyst,Data Analyst
22/11/2024 16:27,1,3386,Middle,,Продуктова,5.0,5,Львів,1,QA,Manual QA
22/11/2024 16:30,1,1500,Middle,TypeScript,Аутсорсингова,2.0,4,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:31,1,1300,Middle,,Аутсорсингова,3.0,5,Івано-Франківськ,1,QA,Manual QA
22/11/2024 16:32,1,2050,Middle,C# / .NET,Аутсорсингова,2.0,5,Хмельницький,1,SE,Software Engineer / Software Developer
22/11/2024 16:36,1,2000,,,Продуктова,7.0,6,Київ,0,Brand,Content Manager / Content Marketing Manager
22/11/2024 16:36,0,1600,Junior,Python,Стартап,1.5,5,Житомир,1,DS,ML Engineer
22/11/2024 16:38,0,1950,Middle,JavaScript,Аутсорсингова,5.0,3,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 16:39,1,2400,Senior,JavaScript,Продуктова,7.0,5,Тернопіль,1,SE,Software Engineer / Software Developer
22/11/2024 16:41,1,3900,Senior,C# / .NET,Аутсорсингова,7.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:42,1,5600,Tech Lead,C# / .NET,Продуктова,6.0,5,Кропивницький,1,SE,Software Engineer / Software Developer
22/11/2024 16:43,1,2620,Senior,Python,Аутсорсингова,4.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 16:44,1,1400,Senior,,Продуктова,6.0,6,Не Україна,1,Brand,Content Manager / Content Marketing Manager
22/11/2024 16:44,1,1700,Junior,Python,Аутсорсингова,4.0,4,Не Україна,1,DevOps,DevOps Engineer
22/11/2024 16:44,1,2700,Middle,C# / .NET,Продуктова,4.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:47,1,8000,Head,Python,Продуктова,7.0,6,Полтава,1,Analyst,Head of Analytics
22/11/2024 16:49,1,1500,Junior,Kotlin,Продуктова,1.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:50,1,3850,Middle,Kotlin,Продуктова,4.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 16:50,1,3300,,,Аутсорсингова,10.0,5,Не Україна,1,QA,Manual QA
22/11/2024 16:55,1,5000,Tech Lead,PHP,Продуктова,3.0,6,Не Україна,1,,Nous Technology Group
22/11/2024 16:57,1,2350,Senior,Kotlin,Продуктова,5.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:57,1,2300,Middle,TypeScript,Продуктова,3.0,4,Не Україна,1,QA,Automation QA / AQA
22/11/2024 16:58,1,2660,Middle,C,Аутсорсингова,4.0,4,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 16:59,1,4000,Middle,Kotlin,Продуктова,5.0,6,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 17:04,1,8000,,Scala,Продуктова,5.0,5,Не Україна,1,DevOps,DevOps Engineer
22/11/2024 17:06,1,5000,Senior,C++,Продуктова,8.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 17:06,1,3200,Senior,,Продуктова,8.0,5,Київ,1,Marketing,PPC Specialist
22/11/2024 17:08,1,700,,,Продуктова,3.0,3,Львів,1,HR,Recruiter / Recruitment Specialist / Technical Recruiter
22/11/2024 17:08,1,4100,,Python,Аутсорсингова,5.0,5,Не Україна,1,DS,AI Engineer
22/11/2024 17:09,1,2427,Senior,C,Аутсорсингова,5.0,4,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 17:12,1,3000,,,Продуктова,5.0,5,Одеса,1,Project Mgmt,Delivery Manager
22/11/2024 17:13,1,3000,Middle,TypeScript,Аутсорсингова,2.0,5,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 17:13,1,4200,Senior,,Продуктова,10.0,5,Київ,0,QA,Manual QA
22/11/2024 17:19,1,1000,Middle,,Продуктова,2.0,4,Київ,1,QA,Manual QA
22/11/2024 17:26,1,3000,Senior,TypeScript,Продуктова,4.0,4,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 17:28,1,4275,Senior,Java,Аутсорсингова,9.0,6,Київ,0,SE,Software Engineer / Software Developer
22/11/2024 17:34,0,250,Intern/Trainee,Python,Продуктова,0.5,6,Львів,1,,Research Scientist
22/11/2024 17:37,1,3800,Middle,Kotlin,Продуктова,4.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 17:40,1,5530,Senior,JavaScript,Продуктова,4.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 17:40,1,1200,Middle,,Продуктова,1.5,6,Київ,1,Brand,Community Manager
22/11/2024 17:42,1,2650,,,Продуктова,6.0,6,Київ,1,Marketing,Product Marketing Manager
22/11/2024 17:43,1,1500,Junior,Python,Аутсорсингова,0.1,4,Кропивницький,1,DS,Data Scientist
22/11/2024 17:45,1,1900,,,Продуктова,4.0,4,Не Україна,1,HR,Talent Acquisition Manager/Talent Acquisition Specialist
22/11/2024 17:46,1,2700,Middle,C# / .NET,Продуктова,4.0,3,Рівне,1,SE,Software Engineer / Software Developer
22/11/2024 17:49,1,5000,Senior,Python,Продуктова,6.0,5,Київ,0,DevOps,DevOps Engineer
22/11/2024 17:54,1,4000,Senior,,Аутсорсингова,8.0,5,Дніпро,0,Analyst,BA (Business Analyst)
22/11/2024 17:54,1,4427,Head,,Продуктова,10.0,6,Київ,1,"UI/UX, Product Design",Head of Product Design
22/11/2024 17:55,1,1000,Junior,,Аутсорсингова,2.0,5,Львів,0,"UI/UX, Product Design",UI/UX Designer
22/11/2024 17:57,1,1750,Middle,,Продуктова,5.0,4,Київ,1,HR,Talent Acquisition Manager/Talent Acquisition Specialist
22/11/2024 17:58,1,3750,Middle,TypeScript,Аутсорсингова,3.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 18:03,1,1300,Senior,SQL,Державне підприємство / установа,6.0,3,Дніпро,1,Analyst,BA (Business Analyst)
22/11/2024 18:03,0,2500,Middle,Python,Аутсорсингова,3.0,5,Львів,1,DevOps,DevOps Engineer
22/11/2024 18:04,1,4000,Senior,TypeScript,Продуктова,6.0,5,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 18:09,1,1350,Middle,,Продуктова,5.0,3,Київ,1,HR,HR Manager / HR specialist
22/11/2024 18:14,0,1250,Middle,C# / .NET,Аутстафінгова,3.0,2,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 18:18,1,900,,,Продуктова,2.0,6,Не Україна,1,HR,Learning and Development / Training and Development
22/11/2024 18:33,1,2000,Middle,,Аутсорсингова,3.0,5,Київ,1,Analyst,BA (Business Analyst)
22/11/2024 18:35,1,1570,Middle,PHP,Продуктова,3.0,4,Рівне,1,SE,Software Engineer / Software Developer
22/11/2024 18:44,1,4800,Senior,,Продуктова,9.0,6,Не Україна,1,Product Mgmt,Product Owner (у продакт менеджменті)
22/11/2024 18:53,1,9400,Senior,C# / .NET,Продуктова,6.0,5,Не Україна,0,SE,Software Engineer / Software Developer
22/11/2024 18:59,1,5500,Head,,Продуктова,1.5,3,Київ,1,Project Mgmt,Head of Delivery
22/11/2024 19:05,1,11000,Senior,TypeScript,Продуктова,7.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 19:13,1,6000,,JavaScript,Аутсорсингова,10.0,5,Харків,0,SE,Software Engineer / Software Developer
22/11/2024 19:17,1,2000,Middle,C++,Продуктова,4.0,3,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 19:22,1,2250,Senior,1С,Інша,15.0,4,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 19:28,1,4400,Senior,TypeScript,Аутстафінгова,12.0,5,Чернівці,0,SE,Software Engineer / Software Developer
22/11/2024 19:30,1,4750,Senior,Java,Аутстафінгова,12.0,5,Вінниця,1,SE,Software Engineer / Software Developer
22/11/2024 19:36,1,6500,Senior,Kotlin,Продуктова,7.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 19:37,1,8500,Senior,Python,Аутстафінгова,9.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 19:41,0,3500,Middle,,Стартап,4.0,5,Київ,1,Product Mgmt,Product Manager
22/11/2024 19:48,1,1500,Middle,TypeScript,Аутсорсингова,4.0,5,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 19:49,1,2050,Middle,Dart,Аутсорсингова,8.0,4,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 19:55,1,1300,Junior,C# / .NET,Аутсорсингова,2.0,5,Львів,0,SE,Software Engineer / Software Developer
22/11/2024 19:59,1,1120,Junior,,Стартап,2.0,4,Львів,1,QA,Manual QA
22/11/2024 20:03,1,1450,Middle,TypeScript,Аутсорсингова,3.0,4,Дніпро,1,SE,Software Engineer / Software Developer
22/11/2024 20:10,1,6000,Senior,Java,Аутсорсингова,14.0,5,Львів,0,SE,Software Engineer / Software Developer
22/11/2024 20:18,1,3500,Middle,JavaScript,Продуктова,6.0,5,Київ,1,QA,Automation QA / AQA
22/11/2024 20:21,1,3500,Senior,C# / .NET,Продуктова,11.0,5,Київ,1,QA,Manual QA
22/11/2024 20:33,1,4000,,TypeScript,Аутсорсингова,7.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 20:36,1,4000,Senior,,Продуктова,7.0,4,Київ,1,QA,Manual QA
22/11/2024 20:52,1,1200,Middle,JavaScript,Продуктова,3.0,5,Не Україна,1,QA,Manual QA
22/11/2024 20:53,1,1700,Middle,TypeScript,Аутсорсингова,3.0,3,Дніпро,1,SE,Software Engineer / Software Developer
22/11/2024 20:57,1,2000,Senior,,Продуктова,5.0,3,Київ,1,"UI/UX, Product Design",UI/UX Designer
22/11/2024 21:01,1,967,Junior,,Продуктова,2.0,2,Не Україна,1,Product Mgmt,Product Manager
22/11/2024 21:07,1,3800,Senior,,Продуктова,10.0,6,Не Україна,1,QA,Manual QA
22/11/2024 21:10,1,2000,Senior,,Продуктова,15.0,6,Рівне,1,Office manager / Admin / Assistant,Procurement
